feature,importance
Fault,0.2154820173095102
BasePolicy,0.14416815654869616
PolicyType,0.07841434546714236
VehicleCategory,0.05686831569524396
Age,0.048749237972448005
Deductible,0.037307942639846825
RepNumber,0.03424243333716945
Month,0.0322906571442263
Make,0.031023177228757484
MonthClaimed,0.030113759588371394
VehiclePrice,0.02813682181783688
PastNumberOfClaims_encoded,0.02455509655181426
AddressChange_Claim_encoded,0.024263339484547966
Year,0.023934899502338385
DayOfWeek,0.023807126527523866
DayOfWeekClaimed,0.022228315273391613
AgeOfVehicle_encoded,0.02036059646604959
AgeOfPolicyHolder,0.020329771530371816
WeekOfMonth,0.018599489653174532
NumberOfSuppliments_encoded,0.01744527863377592
DriverRating,0.01673980115192548
WeekOfMonthClaimed,0.01667168535471483
Sex,0.005965042905020225
NumberOfCars_encoded,0.005858965052322469
PoliceReportFiled_encoded,0.005773070367891075
MaritalStatus,0.005549107434160318
AccidentArea,0.004828032099706072
AgentType,0.0025536133327864565
Days_Policy_Accident_encoded,0.0018708637674992978
Days_Policy_Claim_encoded,0.0015440366524807475
WitnessPresent_encoded,0.0003250035092563
